   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  3.0000000e+01  2.1835100e+03  8.3333328e-06  9.5784780e-08  2.1835100e+03  4.1669136e-05  1.6729448e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  3.7451041e-01  2.7740912e-07  6.7484139e-08  4.5712153e-08
  9.0000000e+01  2.1835100e+03  1.6666666e-05  9.8548231e-08  2.1835100e+03  1.6666666e-05  2.7185823e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  3.9882855e-01  2.6467797e-07  5.9971578e-08  3.0916063e-08
  1.5000000e+02  2.1835100e+03  2.4999998e-05  1.4097051e-07  2.1835100e+03  2.4999998e-05  3.4389674e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  4.3148022e-01  2.6022223e-07  5.1296350e-08  1.8604781e-08
  2.1000000e+02  2.1835100e+03  1.6666666e-05  9.0950647e-08  2.1835100e+03  0.0000000e+00  1.6746189e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  4.0644233e-01  2.5487826e-07  1.1758363e-07  3.7213630e-08
  2.7000000e+02  2.1835100e+03  1.6666666e-05  6.6682267e-08  2.1835100e+03  1.6666666e-05  3.0842983e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  3.9738911e-01  1.9417745e-07  7.2315551e-08  4.6585539e-08
  3.3000000e+02  2.1835100e+03  0.0000000e+00  5.0109763e-08  2.1835100e+03  4.1666664e-05  1.7918399e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  4.0678306e-01  2.1559321e-07  1.0238420e-07  2.5872124e-08
  3.9000000e+02  2.1835100e+03  1.6666666e-05  1.0185258e-07  2.1835100e+03  8.3333328e-06  3.3452485e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  4.2737005e-01  2.3093643e-07  7.9749018e-08  3.9635478e-08
  4.5000000e+02  2.1835100e+03  8.3333328e-06  1.3718024e-07  2.1835100e+03  4.9999997e-05  1.9600183e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  3.9888398e-01  2.8440047e-07  5.8587248e-08  2.3052629e-08
  5.1000000e+02  2.1835100e+03  2.4999998e-05  1.4633349e-07  2.1835100e+03  4.1666664e-05  2.9205952e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  4.1000326e-01  2.5814047e-07  8.3673174e-08  1.7286452e-05
  5.7000000e+02  2.1835100e+03  2.4999998e-05  1.4164370e-07  2.1835100e+03  6.6666663e-05  1.0170718e-05  0.0000000e+00  1.0227500e-08  9.9999999e-09  3.8791918e-01  2.2106288e-07  2.6176508e-08  1.7790310e-05
  6.3000000e+02  2.1835100e+03  8.3333328e-06  9.8188005e-08  2.1835100e+03  2.4999998e-05  2.9393661e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  3.7542051e-01  2.1677162e-07  7.2116399e-08  1.7346100e-08
  6.9000000e+02  2.1835100e+03  8.3333328e-06  7.7152616e-08  2.1835100e+03  3.3333331e-05  3.6752630e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  4.0541937e-01  2.5617983e-07  5.1532427e-08  1.2120134e-08
  7.5000000e+02  2.1835100e+03  2.4999998e-05  8.8337673e-08  2.1835100e+03  3.3333331e-05  2.9230673e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  4.0791998e-01  2.5389657e-07  6.5525235e-08  2.2628346e-08
  8.1000000e+02  2.1835100e+03  3.3333331e-05  7.4443508e-08  2.1835100e+03  2.4999998e-05  1.3443732e-08  1.6666666e-05  1.0227500e-08  9.9999999e-09  3.8375219e-01  2.4071210e-07  6.7750606e-08  2.7667031e-08
  8.7000000e+02  2.1835100e+03  8.3333328e-06  8.0692827e-08  2.1835100e+03  2.4999998e-05  2.5655993e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  3.9083636e-01  2.7884389e-07  4.6702466e-08  9.9417779e-07
  9.3000000e+02  2.1835100e+03  1.6666666e-05  1.1275930e-07  2.1835100e+03  2.4999998e-05  3.7295695e-06  8.3333328e-06  1.0227500e-08  9.9999999e-09  3.8083553e-01  2.2473163e-07  6.9141110e-08  5.7682060e-08
  9.9000000e+02  2.1835100e+03  1.6666666e-05  1.3164321e-07  2.1835100e+03  7.4999995e-05  2.5619982e-08  0.0000000e+00  1.0227500e-08  9.9999999e-09  3.8144244e-01  2.2026774e-07  8.9081791e-08  2.3498103e-08
  1.0500000e+03  2.1835100e+03  2.4999998e-05  1.2096994e-07  2.1835100e+03  8.3333328e-06  5.2266514e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  4.0606256e-01  1.8270428e-07  6.4327335e-08  1.7977702e-08
  1.1100000e+03  2.1835100e+03  3.3336823e-05  1.0956837e-07  2.1835100e+03  2.4999998e-05  1.5719135e-05  1.6666666e-05  1.0227500e-08  9.9999999e-09  3.9392435e-01  2.0420362e-07  6.5878639e-08  1.3202347e-08
  1.1700000e+03  2.1835100e+03  2.4999998e-05  9.2479061e-08  2.1835100e+03  1.6666666e-05  2.0623069e-08  8.3333328e-06  1.0227500e-08  9.9999999e-09  4.0024759e-01  1.8760983e-07  1.0384514e-07  3.9636691e-08
