    Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C       C_BSY(uA)      AirMon_BSY     AirMon_B       C_D(nA)        AirMon_D       AirMon_L       AirMon_SL      IPM1C01        IPM1C02        IPM2C01        IPM2C02        IPM3C01        IPM3C02
  3.0000000e+01  1.9226899e+03  3.3333331e-05  9.9719299e-10  1.9226899e+03  4.0000281e-04  9.9719299e-10  0.0000000e+00  2.4632920e-08  9.9999999e-09  2.3750125e-01  7.2201515e-04  8.6476370e+00  3.6112043e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  9.0000000e+01  1.9226899e+03  8.3333328e-06  9.9719299e-10  1.9226899e+03  4.1666664e-04  9.9719299e-10  8.3333328e-06  5.0974758e-08  9.9999999e-09  2.4171552e-01  2.3992589e-04  9.4820804e+00  2.0350072e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.5000000e+02  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  4.5833575e-04  9.9719299e-10  0.0000000e+00  8.5044789e-08  9.9999999e-09  2.3536971e-01  1.5867167e-03  9.3189616e+00  1.9277997e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.1000000e+02  1.9226899e+03  2.4999998e-05  9.9719299e-10  1.9226899e+03  4.2500391e-04  9.9719299e-10  0.0000000e+00  5.9861042e-08  9.9999999e-09  2.3125147e-01  3.4745012e-03  8.5201093e+00  4.5161553e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  2.7000000e+02  1.9226899e+03  4.1666664e-05  9.9719299e-10  1.9226899e+03  3.3334102e-04  9.9719299e-10  0.0000000e+00  7.5382478e-08  9.9999999e-09  2.4583508e-01  4.5080927e-03  9.0630250e+00  3.1844243e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.3000000e+02  1.9226899e+03  0.0000000e+00  9.9719299e-10  1.9226899e+03  4.0834074e-04  9.9719299e-10  0.0000000e+00  5.9852217e-08  9.9999999e-09  2.4584332e-01  1.5664471e-03  9.4599718e+00  6.0629632e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  3.9000000e+02  1.9226899e+03  7.4999995e-05  9.9719299e-10  1.9226899e+03  3.7499998e-04  9.9719299e-10  8.3333328e-06  1.0876781e-07  9.9999999e-09  2.2582615e-01  6.7812803e-04  9.0984593e+00  8.2153574e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.5000000e+02  1.9226899e+03  5.8333330e-05  9.9719299e-10  1.9226899e+03  4.2500702e-04  9.9719299e-10  0.0000000e+00  7.0870471e-08  9.9999999e-09  2.2541792e-01  7.7094028e-04  9.2774843e+00  6.1831319e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  5.1000000e+02  1.9226899e+03  0.0000000e+00  9.9719299e-10  1.9226899e+03  4.4999997e-04  9.9719299e-10  8.3333328e-06  9.0003024e-08  9.9999999e-09  2.5958398e-01  6.9104860e-04  9.1060936e+00  3.1362080e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  5.7000000e+02  1.9226899e+03  4.9999997e-05  9.9719299e-10  1.9226899e+03  5.0833330e-04  9.9719299e-10  0.0000000e+00  1.0563821e-06  9.9999999e-09  2.4000231e-01  1.5816232e-03  9.3744200e+00  1.9135436e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  6.3000000e+02  1.9226899e+03  6.6670021e-05  9.9719299e-10  1.9226899e+03  4.4166664e-04  9.9719299e-10  0.0000000e+00  2.0259719e-08  9.9999999e-09  2.3121100e-01  2.5330439e-03  8.6157367e+00  7.8322120e-08  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
