   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  3.0000000e+01  2.1835100e+03  2.4999998e-05  1.5352508e-07  1.0431500e+04  1.6666666e-05  3.5009700e-07  2.4999998e-05  1.4983836e-07  9.9999999e-09  3.0500117e-01  2.4967604e-07  7.7029685e+01  9.9999999e-09
  9.0000000e+01  2.1835100e+03  8.3333328e-06  1.5895191e-07  1.0431500e+04  1.6666666e-05  3.1321308e-07  8.3333328e-06  1.5383587e-07  9.9999999e-09  3.1416887e-01  2.7672682e-07  7.8326247e+01  9.9999999e-09
  1.5000000e+02  2.1835100e+03  2.4999998e-05  2.3259607e-07  1.0431500e+04  1.6666666e-05  3.7233008e-07  8.3333328e-06  1.4318150e-07  9.9999999e-09  3.0417025e-01  2.2738523e-07  7.7906850e+01  9.9999999e-09
  2.1000000e+02  2.1835100e+03  0.0000000e+00  1.8737955e-07  1.0431500e+04  8.3333328e-06  3.7165917e-07  1.6666666e-05  1.3666281e-07  9.9999999e-09  2.9833543e-01  2.3687596e-07  8.0509774e+01  9.9999999e-09
  2.7000000e+02  2.1835100e+03  8.3333328e-06  1.9344301e-07  1.0431500e+04  4.1666664e-05  3.8727419e-07  3.3333331e-05  1.2962882e-07  9.9999999e-09  3.0375190e-01  2.2544970e-07  8.1498936e+01  9.9999999e-09
  3.3000000e+02  2.1835100e+03  2.4999998e-05  2.0507128e-07  1.0431500e+04  3.3333331e-05  3.2017384e-07  0.0000000e+00  1.7578558e-07  9.9999999e-09  2.8791825e-01  2.0120678e-07  8.8667597e+01  9.9999999e-09
  3.9000000e+02  2.1835100e+03  1.6666666e-05  1.3782550e-07  1.0431500e+04  8.3333328e-06  3.7550775e-07  1.6666666e-05  1.7241892e-07  9.9999999e-09  3.0500214e-01  2.0725126e-07  8.9545256e+01  9.9999999e-09
  4.5000000e+02  2.1835100e+03  0.0000000e+00  1.9374648e-07  1.0431500e+04  2.4999998e-05  3.7248084e-07  1.6670021e-05  2.0765998e-07  9.9999999e-09  3.2500171e-01  2.1525601e-07  8.7723010e+01  9.9999999e-09
  5.1000000e+02  2.1835100e+03  8.3333328e-06  1.5337456e-07  1.0431500e+04  8.3333328e-06  3.7212072e-07  4.1666664e-05  1.8697695e-07  9.9999999e-09  2.8750170e-01  2.2997585e-07  8.7347718e+01  9.9999999e-09
  5.7000000e+02  2.1835100e+03  1.6666666e-05  1.2441134e-07  1.0431500e+04  1.6666666e-05  3.4997559e-07  8.3333328e-06  1.8165873e-07  9.9999999e-09  3.0583588e-01  1.9828257e-07  8.8615709e+01  9.9999999e-09
  6.3000000e+02  2.1835100e+03  8.3333328e-06  2.0745138e-07  1.0431500e+04  0.0000000e+00  3.6120095e-07  0.0000000e+00  1.5585226e-07  9.9999999e-09  2.8916787e-01  1.8566920e-07  8.8591051e+01  9.9999999e-09
  6.9000000e+02  2.1835100e+03  5.8336485e-05  1.9982011e-07  1.0431500e+04  0.0000000e+00  3.5698188e-07  2.4999998e-05  1.7992519e-07  9.9999999e-09  2.9291839e-01  2.3132761e-07  8.6652686e+01  9.9999999e-09
  7.5000000e+02  2.1835100e+03  8.3333328e-06  2.3353653e-07  1.0431500e+04  0.0000000e+00  3.2437579e-07  1.6666666e-05  1.4407981e-07  9.9999999e-09  2.7667028e-01  2.4909895e-07  8.4234852e+01  9.9999999e-09
  8.1000000e+02  2.1835100e+03  8.3333328e-06  2.1803006e-07  1.0431500e+04  8.3333328e-06  3.7082526e-07  1.6666666e-05  1.7379195e-07  9.9999999e-09  3.0833633e-01  2.2322677e-07  8.8555489e+01  9.9999999e-09
  8.7000000e+02  2.1835100e+03  1.6666666e-05  1.7279689e-07  1.0431500e+04  0.0000000e+00  3.3604028e-07  0.0000000e+00  2.0596977e-07  9.9999999e-09  2.8833539e-01  2.9296925e-07  9.0269427e+01  9.9999999e-09
